States,s [kJ/kgK],P [bar],T [K],$\theta\ [ ^\circ C ]$,x [--],h [kJ]
1,1.434,1.5,384.5,111.35,0.0 : Saturated Liquid,467.081
a,1.434,10.0,384.57,111.42,-0.146 : Subcooled Liquid,467.991
b,2.138,10.0,453.04,179.89,0.0 : Saturated Liquid,762.683
c,2.138,30.0,453.32,180.17,-0.136 : Subcooled Liquid,764.934
3,2.646,30.0,507.01,233.86,0.0 : Saturated Liquid,1008.371
4,6.186,30.0,507.01,233.86,1.0 : Saturated Steam,2803.265
5,6.585,30.0,583.21,310.06,1.121 : Superheated Steam,3019.653
6,6.638,10.0,462.31,189.16,1.012 : Superheated Steam,2801.372
7,7.162,10.0,583.21,310.06,1.147 : Superheated Steam,3073.203
8,7.297,1.5,398.31,125.16,1.013 : Superheated Steam,2722.105
